Coluna1,Coluna2,Coluna3,Coluna4,Coluna5
Women,2014,Campbell Cate,AUS,23.96
Women,2014,Halsall Francesca,GBR,23.96
Women,2014,Sjoestroem Sarah,SWE,23.98
Women,2014,Campbell Bronte,AUS,24.2
Women,2014,Kromowidjojo Ranomi,NED,24.33
Women,2014,Vanderpool-Wallace Arianna,BAH,24.34
Women,2014,Schlanger-Wright Melanie,AUS,24.39
Women,2014,Ottesen Jeanette,DEN,24.4
Women,2014,Manuel Simone,USA,24.56
Women,2014,Blume Pernille,DEN,24.59
Women,2014,Brandt Dorothea,GER,24.6
Women,2014,Heemskerk Femke,NED,24.62
Women,2014,Martin Ivy,USA,24.62
Women,2014,van Landeghem Chantal,CAN,24.69
Women,2014,Dekker Inge,NED,24.72
Women,2014,Herasimenia Aliaksandra,BLR,24.73
Women,2014,Medeiros Etiene,BRA,24.74
Women,2014,Hermann Graciele,BRA,24.76
Women,2014,Kennedy Madison,USA,24.78
Women,2014,Weitzeil Abbey,USA,24.8
Women,2014,Locus Madeline,USA,24.81
Women,2014,Santamans Anna,FRA,24.81
Women,2014,Bazarova Elizaveta,RUS,24.82
Women,2014,Di Pietro Silvia,ITA,24.84
Women,2014,Chen Xinyi,CHN,24.87
Women,2014,Nasretdinova Rozaliya,RUS,24.88
Women,2014,Hosszu Katinka,HUN,24.89
Women,2014,Geer Margo,USA,24.95
Women,2014,Coughlin Natalie,USA,24.97
Women,2014,Alshammar Therese,SWE,24.99
Women,2014,McKeon Emma,AUS,25
Women,2014,Ferraioli Erika,ITA,25.02
Women,2014,Uchida Miki,JPN,25.02
Women,2014,Bilquist Amy,USA,25.04
Women,2014,Elmslie Brittany,AUS,25.04
Women,2014,Smith Amy,GBR,25.06
Women,2014,Harkin Sian,GBR,25.07
Women,2014,Schaefer Maddy,USA,25.07
Women,2014,Coleman Michelle,SWE,25.08
Women,2014,Zhu Menghui,CHN,25.08
Women,2014,Coffman Cheyenne,USA,25.12
Women,2014,Kukla Yolane,AUS,25.15
Women,2014,Poon Victoria,CAN,25.15
Women,2014,Marchioro Alessandra,BRA,25.17
Women,2014,Tang Yi,CHN,25.17
Women,2014,van der Meer Maud,NED,25.18
Women,2014,Ferreira Lorrane,BRA,25.2
Women,2014,Weir Amanda,USA,25.23
Women,2014,Touretski Alexandra Sasha,AUS,25.24
Women,2014,Meilutyte Ruta,LTU,25.26
Women,2014,Matsuo Ami,AUS,25.27
Women,2014,McJannett Lucy,AUS,25.28
Women,2014,Barratt Holly,AUS,25.29
Women,2014,Mainville Sandrine,CAN,25.3
Women,2014,Meili Katie,USA,25.3
Women,2014,Urbanczyk Aleksandra,POL,25.31
Women,2014,Johnson Faith,USA,25.32
Women,2014,Stepanyuk Darya,UKR,25.32
Women,2014,Biondani Giorgia,ITA,25.34
Women,2014,Guy Rebecca,GBR,25.34
Women,2014,Jack Shayna,AUS,25.34
Women,2014,Koschischek Birgit,AUT,25.34
Women,2014,Andrusenko Veronika,RUS,25.34
Women,2014,Garcia Vega Vanessa,PUR,25.35
Women,2014,Thibaut Mary,FRA,25.35
Women,2014,Bing Kaylin,USA,25.36
Women,2014,Hardy Jessica,USA,25.37
Women,2014,Brisfer Clara,FRA,25.38
Women,2014,Levisen Julie,DEN,25.38
Women,2014,Nielsen Mie Oe.,DEN,25.38
Women,2014,Lu Ying,CHN,25.39
Women,2014,Ustinova Daria S,RUS,25.39
Women,2014,Muffat Camille,FRA,25.41
Women,2014,Coutts Alicia,AUS,25.42
Women,2014,Gillett Chelsea,AUS,25.42
Women,2014,Hinds Natalie,USA,25.42
Women,2014,Throssell Brianna,AUS,25.44
Women,2014,Li Shuyi,CHN,25.45
Women,2014,Liu Xiang,CHN,25.45
Women,2014,Mitchell Melissa,AUS,25.45
Women,2014,Oliveira Larissa,BRA,25.45
Women,2014,Williams-Toro Michelle,CAN,25.45
Women,2014,Khitraya Yuliya,BLR,25.46
Women,2014,Pellegrini Federica,ITA,25.47
Women,2014,Lee Jae Young,KOR,25.48
Women,2014,O'Connor Siobhan-Marie,GBR,25.48
Women,2014,Johannessen Cecilie,NOR,25.49
Women,2014,Kendall Amanda,USA,25.5
Women,2014,Dietterle Anna-Stephanie,GER,25.51
Women,2014,Matsumoto Yayoi,JPN,25.51
Women,2014,Galizi Giada,ITA,25.52
Women,2014,Quigley Lauren,GBR,25.52
Women,2014,Haughey Siobhan,HKG,25.53
Women,2014,Knyaginina-Fedulova Svetlana,RUS,25.53
Women,2014,Gallardo Carapeto Fatima,ESP,25.54
Women,2014,Lloyd Jessica,GBR,25.54
Women,2014,Murez Andrea,USA,25.54
Women,2014,Sysmans Jolien,BEL,25.54
Women,2014,Lindkvist Josefin,SWE,25.55
Women,2014,Seppala Hanna-Maria,FIN,25.55
Women,2014,Ikee Rikako,JPN,25.56
Women,2014,McLaughlin Katie,USA,25.56
Women,2014,Moseley Stanzi,USA,25.56
Women,2014,Neal Lia,USA,25.56
Women,2014,Yamaguchi Misaki,JPN,25.56
Women,2014,Kameneva Mariia,RUS,25.57
Women,2014,Lee Byulnim,KOR,25.57
Women,2014,Meynen Julie-Marie,LUX,25.57
Women,2014,Qiu Yuhan,CHN,25.57
Women,2014,Khakhlova Svitlana,BLR,25.58
Women,2014,Vermeulen Esmee,NED,25.59
Women,2014,Maree Trudi,RSA,25.6
Women,2014,Prinsloo Karin,RSA,25.6
Women,2014,Dias Daiene,BRA,25.61
Women,2014,Kuehl Courtney,USA,25.62
Women,2014,Pezzato Aglaia,ITA,25.62
Women,2014,Riordan Hannah,CAN,25.62
Women,2014,Lapierre-Lemire Caroline,CAN,25.63
Women,2014,Molnar Flora,HUN,25.63
Women,2014,Purcell Allyx,AUS,25.63
Women,2014,Romano Megan,USA,25.63
Women,2014,van Vliet Tamara,NED,25.64
Women,2014,Becker Daiane,BRA,25.65
