count;Meet;Course;Year;Gender;Event;Rank;Athlete;Country;Time;time1;Margin
1;Olympic Games;LCM;1896;Men;100m freestyle;1;HAJOS, Alfred;HUN;1:22.2;82.2;0.6
105;Olympic Games;LCM;1900;Men;200m freestyle;1;LANE, Fred;GBR;2:25.2;145.2;6.2
172;Olympic Games;LCM;1900;Men;200m backstroke;1;HOPPENBERG, Ernst;GER;2:47.0;167;9.0
599;Olympic Games;LCM;1906;Men;400m freestyle;1;SCHEFF, Otto;AUT;6:24.0;384;2.0
707;Olympic Games;LCM;1908;Men;100m freestyle;1;DANIELS, Charlie;USA;1:05.6;65.6;0.6
768;Olympic Games;LCM;1908;Men;400m freestyle;1;TAYLOR, Henry;GBR;5:36.8;336.8;7.4
832;Olympic Games;LCM;1908;Men;1500m freestyle;1;TAYLOR, Henry;GBR;22:48.4;1368.4;2.8
881;Olympic Games;LCM;1908;Men;100m backstroke;1;BIEBERSTEIN, Arno;GER;1:24.6;84.6;2.0
924;Olympic Games;LCM;1908;Men;200m breaststroke;1;HOLMAN, Fred;GBR;3:09.2;189.2;3.6
1014;Olympic Games;LCM;1912;Women;100m freestyle;1;DURACK, Fanny;ANZ;1:22.2;82.2;3.2
1074;Olympic Games;LCM;1912;Men;100m freestyle;1;KAHANAMOKU, Duke;USA;1:03.4;63.4;1.2
1160;Olympic Games;LCM;1912;Men;400m freestyle;1;HODGSON, George;CAN;5:24.4;324.4;1.4
1246;Olympic Games;LCM;1912;Men;1500m freestyle;1;HODGSON, George;CAN;22:00.0;1320;39.0
1310;Olympic Games;LCM;1912;Men;100m backstroke;1;HEBNER, Harry;USA;1:21.2;81.2;1.2
1365;Olympic Games;LCM;1912;Men;200m breaststroke;1;BATHE, Walter;GER;3:01.8;181.8;3.2
1526;Olympic Games;LCM;1920;Women;100m freestyle;1;BLEIBTREY, Ethelda;USA;1:13.6;73.6;3.4
1587;Olympic Games;LCM;1920;Men;100m freestyle;1;KAHANAMOKU, Duke;USA;1:01.4;61.4;1.2
1640;Olympic Games;LCM;1920;Men;400m freestyle;1;ROSS, Norman;USA;5:26.8;326.8;2.2
1718;Olympic Games;LCM;1920;Men;100m backstroke;1;KEALOHA, Warren;USA;1:15.2;75.2;1.6
1735;Olympic Games;LCM;1920;Men;200m breaststroke;1;MALMROT, Hakan;SWE;3:04.4;184.4;4.8
1856;Olympic Games;LCM;1924;Women;100m freestyle;1;LACKIE, Ethel;USA;1:12.4;72.4;0.4
1890;Olympic Games;LCM;1924;Women;400m freestyle;1;NORELIUS, Martha;USA;6:02.2;362.2;1.6
1923;Olympic Games;LCM;1924;Women;100m backstroke;1;BAUER, Sybil;USA;1:23.2;83.2;4.2
1939;Olympic Games;LCM;1924;Women;200m breaststroke;1;MORTON, Lucy;GBR;3:33.2;213.2;0.8
1985;Olympic Games;LCM;1924;Men;100m freestyle;1;WEISSMULLER, Johnny;USA;59.0;59;2.4
2035;Olympic Games;LCM;1924;Men;400m freestyle;1;WEISSMULLER, Johnny;USA;5:04.2;304.2;1.4
