Event;Gender;Date;Time;Athlete;Country;Meet;City;Nation
50m freestyle;Women;23/08/1986;25.28;COSTACHE, Tamara;ROU;World Championships;Madrid;ESP
50m freestyle;Women;11/04/1988;24.98;YANG, Wenyi;CHN;Asian Swimming Championships;Guangzhou;CHN
50m freestyle;Women;31/07/1992;24.79;YANG, Wenyi;CHN;Olympic Games;Barcelona;ESP
50m freestyle;Women;11/09/1994;24.51;LE, Jingyi;CHN;World Championships;Roma, Lazio;ITA
50m freestyle;Women;26/05/2000;24.51;DE BRUIJN, Inge;NED;Super Speedo Grand Prix;Sheffield, South Yorkshire, England;GBR
50m freestyle;Women;04/06/2000;24.48;DE BRUIJN, Inge;NED;Netherlands Olympic Trials;Drachten;NED
50m freestyle;Women;10/06/2000;24.39;DE BRUIJN, Inge;NED;Trofeu Jose Finkel & BRA Olympic Trials;Rio de Janeiro;BRA
50m freestyle;Women;22/09/2000;24.13;DE BRUIJN, Inge;NED;Olympic Games;Sydney, New South Wales;AUS
50m freestyle;Women;24/03/2008;24.09;VELDHUIS, Marleen;NED;European Championships;Eindhoven;NED
50m freestyle;Women;29/03/2008;23.97;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
50m freestyle;Women;19/04/2009;23.96;VELDHUIS, Marleen;NED;Amsterdam Swim Cup;Amsterdam;NED
50m freestyle;Women;02/08/2009;23.73;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA
50m freestyle;Women;29/07/2017;23.67;SJOSTROM, Sarah;SWE;World Championships;Budapest;HUN
50m freestyle;Women;30/07/2023;23.61;SJOSTROM, Sarah;SWE;World Championships;Fukuoka, Fukuoka;JPN
100m freestyle;Women;18/10/1908;1:35.0;GERSTUNG, Martha;GER;;Magdeburg, Magdeburg;GER
100m freestyle;Women;02/10/1910;1:26.6;GUTTENSTEIN, Claire;BEL;;Schaerbeek;BEL
100m freestyle;Women;29/09/1911;1:24.6;CURWEN, Daisy;GBR;;Liverpool;GBR
100m freestyle;Women;10/06/1912;1:20.6;CURWEN, Daisy;GBR;;Birkenhead;GBR
100m freestyle;Women;09/07/1912;1:19.8;DURACK, Fanny;AUS;Olympic Games;Stockholm;SWE
100m freestyle;Women;21/07/1912;1:18.8;DURACK, Fanny;AUS;;Hamburg;GER
100m freestyle;Women;06/02/1915;1:16.2;DURACK, Fanny;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
100m freestyle;Women;23/08/1920;1:14.4;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL
100m freestyle;Women;25/08/1920;1:13.6;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL
100m freestyle;Women;30/06/1923;1:12.8;EDERLE, Gertrude;USA;;Newark, New Jersey;USA
100m freestyle;Women;19/07/1924;1:12.2;WEHSELAU, Mariechen;USA;Olympic Games;Paris;FRA
100m freestyle;Women;28/01/1926;1:10.0;LACKIE, Ethel;USA;;Toledo, Ohio;USA
100m freestyle;Women;07/08/1929;1:09.8;GARATTI, Eleanor;USA;AAU Women's Championships;Honolulu, Hawaii;USA
100m freestyle;Women;25/08/1929;1:09.4;OSIPOWICH, Albina;USA;;San Francisco, California;USA
100m freestyle;Women;14/03/1930;1:08.0;MADISON, Helene;USA;AAU Women's Indoor Championships;Miami, Florida;USA
100m freestyle;Women;20/04/1931;1:06.6;MADISON, Helene;USA;;Boston, Massachusetts;USA
100m freestyle;Women;09/07/1933;1:06.0;DEN OUDEN, Willy;NED;;Antwerpen;BEL
100m freestyle;Women;24/02/1934;1:05.4;DEN OUDEN, Willy;NED;;Amsterdam;NED
100m freestyle;Women;15/04/1934;1:04.8;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED
100m freestyle;Women;27/02/1936;1:04.6;DEN OUDEN, Willy;NED;;Amsterdam;NED
100m freestyle;Women;21/02/1956;1:04.5;FRASER, Dawn;AUS;Australian Championships;Sydney, New South Wales;AUS
100m freestyle;Women;03/03/1956;1:04.2;GASTELAARS, Cocky;NED;;Amsterdam;NED
100m freestyle;Women;14/04/1956;1:04.0;GASTELAARS, Cocky;NED;;Schiedam;NED
100m freestyle;Women;25/08/1956;1:03.3;FRASER, Dawn;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS
