Count;Course;Event;Cod;Gender;Date;Time;Athlete;Country;Meet;City;Nation;Type;Birthday;days;Age
1;LCM;50m freestyle;1;Women;23/08/1986;25.28;COSTACHE, Tamara;ROU;World Championships;Madrid;ESP;Individual;23/07/1970;5875 ;16 years, 31 days
2;LCM;50m freestyle;1;Women;11/04/1988;24.98;YANG, Wenyi;CHN;Asian Swimming Championships;Guangzhou;CHN;Individual;11/01/1972;5935 ;16 years, 91 days
3;LCM;50m freestyle;1;Women;31/07/1992;24.79;YANG, Wenyi;CHN;Olympic Games;Barcelona;ESP;Individual;11/01/1972;7507 ;20 years, 202 days
4;LCM;50m freestyle;1;Women;11/09/1994;24.51;LE, Jingyi;CHN;World Championships;Roma, Lazio;ITA;Individual;19/03/1975;7116 ;19 years, 176 days
5;LCM;50m freestyle;1;Women;26/05/2000;24.51;DE BRUIJN, Inge;NED;Super Speedo Grand Prix;Sheffield, South Yorkshire, England;GBR;Individual;24/08/1973;9772 ;26 years, 276 days
6;LCM;50m freestyle;1;Women;04/06/2000;24.48;DE BRUIJN, Inge;NED;Netherlands Olympic Trials;Drachten;NED;Individual;24/08/1973;9781 ;26 years, 285 days
7;LCM;50m freestyle;1;Women;10/06/2000;24.39;DE BRUIJN, Inge;NED;Trofeu Jose Finkel & BRA Olympic Trials;Rio de Janeiro;BRA;Individual;24/08/1973;9787 ;26 years, 291 days
8;LCM;50m freestyle;1;Women;22/09/2000;24.13;DE BRUIJN, Inge;NED;Olympic Games;Sydney, New South Wales;AUS;Individual;24/08/1973;9891 ;27 years, 29 days
9;LCM;50m freestyle;1;Women;24/03/2008;24.09;VELDHUIS, Marleen;NED;European Championships;Eindhoven;NED;Individual;29/06/1979;10496 ;28 years, 269 days
10;LCM;50m freestyle;1;Women;29/03/2008;23.97;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS;Individual;28/01/1985;8461 ;23 years, 61 days
11;LCM;50m freestyle;1;Women;19/04/2009;23.96;VELDHUIS, Marleen;NED;Amsterdam Swim Cup;Amsterdam;NED;Individual;29/06/1979;10887 ;29 years, 294 days
12;LCM;50m freestyle;1;Women;02/08/2009;23.73;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA;Individual;16/11/1983;9391 ;25 years, 259 days
13;LCM;50m freestyle;1;Women;29/07/2017;23.67;SJOESTROEM, Sarah;SWE;World Championships;Budapest;HUN;Individual;17/08/1993;8747 ;23 years, 346 days
14;LCM;50m freestyle;1;Women;30/07/2023;23.61;SJOESTROEM, Sarah;SWE;World Championships;Fukuoka, Fukuoka;JPN;Individual;17/08/1993;10939 ;29 years, 347 days
15;LCM;100m freestyle;2;Women;18/10/1908;1:35.0;GERSTUNG, Martha;GER;;Magdeburg, Magdeburg;GER;Individual;;;
16;LCM;100m freestyle;2;Women;02/10/1910;1:26.6;GUTTENSTEIN, Claire;BEL;;Schaerbeek;BEL;Individual;19/09/3786;8778 ;24 years, 13 days
17;LCM;100m freestyle;2;Women;29/09/1911;1:24.6;CURWEN, Daisy;GBR;;Liverpool;GBR;Individual;06/12/3789;7966 ;21 years, 297 days
18;LCM;100m freestyle;2;Women;10/06/1912;1:20.6;CURWEN, Daisy;GBR;;Birkenhead;GBR;Individual;06/12/3789;8221 ;22 years, 187 days
19;LCM;100m freestyle;2;Women;09/07/1912;1:19.8;DURACK, Fanny;AUS;Olympic Games;Stockholm;SWE;Individual;27/10/3789;8290 ;22 years, 256 days
20;LCM;100m freestyle;2;Women;21/07/1912;1:18.8;DURACK, Fanny;AUS;;Hamburg;GER;Individual;27/10/3789;8302 ;22 years, 268 days
21;LCM;100m freestyle;2;Women;06/02/1915;1:16.2;DURACK, Fanny;AUS;New South Wales State Championships;Sydney, New South Wales;AUS;Individual;27/10/3789;9232 ;25 years, 102 days
22;LCM;100m freestyle;2;Women;23/08/1920;1:14.4;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL;Individual;27/02/1902;6752 ;18 years, 178 days
23;LCM;100m freestyle;2;Women;25/08/1920;1:13.6;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL;Individual;27/02/1902;6754 ;18 years, 180 days
24;LCM;100m freestyle;2;Women;30/06/1923;1:12.8;EDERLE, Gertrude;USA;;Newark, New Jersey;USA;Individual;23/10/1905;6459 ;17 years, 250 days
25;LCM;100m freestyle;2;Women;19/07/1924;1:12.2;WEHSELAU, Mariechen;USA;Olympic Games;Paris;FRA;Individual;15/05/1906;6640 ;18 years, 65 days
26;LCM;100m freestyle;2;Women;28/01/1926;1:10.0;LACKIE, Ethel;USA;;Toledo, Ohio;USA;Individual;10/02/1907;6927 ;18 years, 352 days
27;LCM;100m freestyle;2;Women;07/08/1929;1:09.8;GARATTI, Eleanor;USA;AAU Women's Championships;Honolulu, Hawaii;USA;Individual;12/06/1909;7361 ;20 years, 56 days
28;LCM;100m freestyle;2;Women;25/08/1929;1:09.4;OSIPOWICH, Albina;USA;;San Francisco, California;USA;Individual;26/02/1911;6755 ;18 years, 180 days
29;LCM;100m freestyle;2;Women;14/03/1930;1:08.0;MADISON, Helene;USA;AAU Women's Indoor Championships;Miami, Florida;USA;Individual;19/06/1913;6112 ;16 years, 268 days
30;LCM;100m freestyle;2;Women;20/04/1931;1:06.6;MADISON, Helene;USA;;Boston, Massachusetts;USA;Individual;19/06/1913;6514 ;17 years, 305 days
31;LCM;100m freestyle;2;Women;09/07/1933;1:06.0;DEN OUDEN, Willy;NED;;Antwerpen;BEL;Individual;01/01/1918;5668 ;15 years, 189 days
32;LCM;100m freestyle;2;Women;24/02/1934;1:05.4;DEN OUDEN, Willy;NED;;Amsterdam;NED;Individual;01/01/1918;5898 ;16 years, 54 days
33;LCM;100m freestyle;2;Women;15/04/1934;1:04.8;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED;Individual;01/01/1918;5948 ;16 years, 104 days
34;LCM;100m freestyle;2;Women;27/02/1936;1:04.6;DEN OUDEN, Willy;NED;;Amsterdam;NED;Individual;01/01/1918;6631 ;18 years, 57 days
35;LCM;100m freestyle;2;Women;21/02/1956;1:04.5;FRASER, Dawn;AUS;Australian Championships;Sydney, New South Wales;AUS;Individual;04/09/1937;6744 ;18 years, 170 days
36;LCM;100m freestyle;2;Women;03/03/1956;1:04.2;GASTELAARS, Cocky;NED;;Amsterdam;NED;Individual;24/02/1938;6582 ;18 years, 8 days
37;LCM;100m freestyle;2;Women;14/04/1956;1:04.0;GASTELAARS, Cocky;NED;;Schiedam;NED;Individual;24/02/1938;6624 ;18 years, 50 days
38;LCM;100m freestyle;2;Women;25/08/1956;1:03.3;FRASER, Dawn;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS;Individual;04/09/1937;6930 ;18 years, 356 days
